STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MEASURE_PRINCIPLE,Measurement principle,ACCOUNTING_ENTRY,Accounting entry,TYPE_ENTITY,Entity type,FDI_COMP,FDI component,SECTOR,Institutional sector,COUNTERPART_AREA,Counterpart area,LEVEL_COUNTERPART,Counterpart level,ACTIVITY,Economic activity,FREQ,Frequency of observation,FDI_COLLECTION_ID,FDI data collection identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CONF_STATUS,Confidentiality status,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,CHL,Chile,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,ITA,Italy,_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2016,,,,A,Normal value,6,Millions,N,"Not for publication, restricted for internal use only",USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,AUS,Australia,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,ITA,Italy,_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2012,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,AUS,Australia,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,ITA,Italy,_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2011,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,NOR,Norway,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,CHN,China (People’s Republic of),_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2015,,,,A,Normal value,6,Millions,N,"Not for publication, restricted for internal use only",USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,BEL,Belgium,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,GBR,United Kingdom,_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2019,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,BEL,Belgium,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,CHN,China (People’s Republic of),_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2022,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,BEL,Belgium,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,CHN,China (People’s Republic of),_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,BEL,Belgium,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,CHN,China (People’s Republic of),_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2020,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,BEL,Belgium,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,CHN,China (People’s Republic of),_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2019,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,BEL,Belgium,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,CHN,China (People’s Republic of),_Z,Not applicable,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2018,,,,A,Normal value,6,Millions,C,Confidential statistical information,USD,US dollar,2,Two
